"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Clarion County, PA"	"42031"	"2016"	"2016"	Suppressed	38513	Suppressed	Suppressed	Suppressed
	"Clarion County, PA"	"42031"	"2017"	"2017"	Suppressed	38458	Suppressed	Suppressed	Suppressed
	"Clarion County, PA"	"42031"	"2018"	"2018"	Suppressed	38779	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"1999"	"1999"	Suppressed	83229	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2000"	"2000"	Suppressed	83382	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2001"	"2001"	Suppressed	82987	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2002"	"2002"	Suppressed	82925	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2003"	"2003"	Suppressed	82422	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2004"	"2004"	Suppressed	82040	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2005"	"2005"	Suppressed	81816	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2006"	"2006"	Suppressed	82461	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2007"	"2007"	Suppressed	82558	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2008"	"2008"	Suppressed	82130	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2009"	"2009"	Suppressed	81942	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2010"	"2010"	Suppressed	81642	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2011"	"2011"	Suppressed	81445	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2012"	"2012"	Suppressed	81184	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2013"	"2013"	Suppressed	81174	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2014"	"2014"	Suppressed	81191	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2015"	"2015"	Suppressed	80994	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2016"	"2016"	Suppressed	80596	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2017"	"2017"	Suppressed	79685	Suppressed	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	"2018"	"2018"	15	79388	Unreliable	10.6	31.2
	"Clinton County, PA"	"42035"	"1999"	"1999"	Suppressed	37888	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2000"	"2000"	Suppressed	37914	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2001"	"2001"	Suppressed	37945	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2002"	"2002"	Suppressed	38007	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2003"	"2003"	Suppressed	38143	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2004"	"2004"	Suppressed	38227	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2005"	"2005"	Suppressed	38418	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2006"	"2006"	Suppressed	38730	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2007"	"2007"	Suppressed	38859	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2008"	"2008"	Suppressed	38955	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2009"	"2009"	Suppressed	39074	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2010"	"2010"	Suppressed	39238	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2011"	"2011"	Suppressed	39208	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2012"	"2012"	Suppressed	39517	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2013"	"2013"	Suppressed	39954	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2014"	"2014"	Suppressed	39745	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2015"	"2015"	Suppressed	39441	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2016"	"2016"	Suppressed	39233	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2017"	"2017"	Suppressed	38998	Suppressed	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	"2018"	"2018"	Suppressed	38684	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"1999"	"1999"	Suppressed	64301	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2000"	"2000"	Suppressed	64151	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2001"	"2001"	Suppressed	64298	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2002"	"2002"	Suppressed	64601	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2003"	"2003"	Suppressed	65001	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2004"	"2004"	Suppressed	65337	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2005"	"2005"	Suppressed	65535	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2006"	"2006"	Suppressed	65882	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2007"	"2007"	Suppressed	66196	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2008"	"2008"	Suppressed	66645	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2009"	"2009"	Suppressed	67220	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2010"	"2010"	Suppressed	67295	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2011"	"2011"	Suppressed	67476	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2012"	"2012"	Suppressed	66887	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2013"	"2013"	Suppressed	66797	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2014"	"2014"	Suppressed	67122	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2015"	"2015"	Suppressed	66672	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2016"	"2016"	10	66420	Unreliable	7.2	27.7
	"Columbia County, PA"	"42037"	"2017"	"2017"	Suppressed	65932	Suppressed	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	"2018"	"2018"	12	65456	Unreliable	9.5	32.0
	"Crawford County, PA"	"42039"	"1999"	"1999"	Suppressed	90149	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2000"	"2000"	Suppressed	90366	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2001"	"2001"	Suppressed	90105	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2002"	"2002"	Suppressed	90031	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2003"	"2003"	Suppressed	89846	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2004"	"2004"	Suppressed	89682	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2005"	"2005"	Suppressed	89452	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2006"	"2006"	Suppressed	89496	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2007"	"2007"	Suppressed	89544	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2008"	"2008"	Suppressed	89023	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2009"	"2009"	Suppressed	89044	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2010"	"2010"	Suppressed	88765	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2011"	"2011"	Suppressed	88740	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2012"	"2012"	Suppressed	87598	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2013"	"2013"	Suppressed	87376	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2014"	"2014"	Suppressed	87175	Suppressed	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	"2015"	"2015"	14	86484	Unreliable	8.9	27.2
	"Crawford County, PA"	"42039"	"2016"	"2016"	23	86257	26.7	16.9	40.0
	"Crawford County, PA"	"42039"	"2017"	"2017"	18	86159	Unreliable	12.4	33.0
	"Crawford County, PA"	"42039"	"2018"	"2018"	20	85063	23.5	14.4	36.3
	"Cumberland County, PA"	"42041"	"1999"	"1999"	Suppressed	213282	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2000"	"2000"	Suppressed	213674	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2001"	"2001"	Suppressed	215087	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2002"	"2002"	Suppressed	217318	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2003"	"2003"	Suppressed	219351	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2004"	"2004"	Suppressed	221225	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2005"	"2005"	Suppressed	223361	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2006"	"2006"	Suppressed	226835	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2007"	"2007"	Suppressed	228718	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2008"	"2008"	Suppressed	231357	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2009"	"2009"	Suppressed	233910	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2010"	"2010"	Suppressed	235406	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2011"	"2011"	Suppressed	237892	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2012"	"2012"	Suppressed	238614	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2013"	"2013"	Suppressed	241212	Suppressed	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	"2014"	"2014"	13	243762	Unreliable	2.8	9.1
	"Cumberland County, PA"	"42041"	"2015"	"2015"	21	246338	8.5	5.3	13.0
	"Cumberland County, PA"	"42041"	"2016"	"2016"	34	248506	13.7	9.5	19.1
	"Cumberland County, PA"	"42041"	"2017"	"2017"	38	250066	15.2	10.8	20.9
	"Cumberland County, PA"	"42041"	"2018"	"2018"	28	251423	11.1	7.4	16.1
	"Dauphin County, PA"	"42043"	"1999"	"1999"	Suppressed	251329	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2000"	"2000"	Suppressed	251798	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2001"	"2001"	Suppressed	252500	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2002"	"2002"	Suppressed	254339	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2003"	"2003"	Suppressed	255585	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2004"	"2004"	Suppressed	256194	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2005"	"2005"	Suppressed	257673	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2006"	"2006"	Suppressed	260312	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2007"	"2007"	Suppressed	263096	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2008"	"2008"	Suppressed	265395	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2009"	"2009"	Suppressed	267090	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2010"	"2010"	Suppressed	268100	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2011"	"2011"	Suppressed	268977	Suppressed	Suppressed	Suppressed
	"Dauphin County, PA"	"42043"	"2012"	"2012"	10	269665	Unreliable	1.8	6.8
	"Dauphin County, PA"	"42043"	"2013"	"2013"	21	270937	7.8	4.8	11.8
	"Dauphin County, PA"	"42043"	"2014"	"2014"	17	271453	Unreliable	3.6	10.0
	"Dauphin County, PA"	"42043"	"2015"	"2015"	25	272983	9.2	5.9	13.5
	"Dauphin County, PA"	"42043"	"2016"	"2016"	27	273707	9.9	6.5	14.4
	"Dauphin County, PA"	"42043"	"2017"	"2017"	28	275710	10.2	6.7	14.7
	"Dauphin County, PA"	"42043"	"2018"	"2018"	57	277097	20.6	15.6	26.7
	"Delaware County, PA"	"42045"	"1999"	"1999"	51	550820	9.3	6.9	12.2
	"Delaware County, PA"	"42045"	"2000"	"2000"	15	550864	Unreliable	1.5	4.5
	"Delaware County, PA"	"42045"	"2001"	"2001"	10	552041	Unreliable	0.9	3.3
	"Delaware County, PA"	"42045"	"2002"	"2002"	13	551929	Unreliable	1.3	4.0
	"Delaware County, PA"	"42045"	"2003"	"2003"	15	552111	Unreliable	1.5	4.5
	"Delaware County, PA"	"42045"	"2004"	"2004"	12	551508	Unreliable	1.1	3.8
	"Delaware County, PA"	"42045"	"2005"	"2005"	21	552153	3.8	2.4	5.8
	"Delaware County, PA"	"42045"	"2006"	"2006"	10	553806	Unreliable	0.9	3.3
	"Delaware County, PA"	"42045"	"2007"	"2007"	15	554916	Unreliable	1.5	4.5
	"Delaware County, PA"	"42045"	"2008"	"2008"	17	556246	Unreliable	1.8	4.9
	"Delaware County, PA"	"42045"	"2009"	"2009"	23	558094	4.1	2.6	6.2
	"Delaware County, PA"	"42045"	"2010"	"2010"	14	558979	Unreliable	1.4	4.2
	"Delaware County, PA"	"42045"	"2011"	"2011"	27	559494	4.8	3.2	7.0
	"Delaware County, PA"	"42045"	"2012"	"2012"	23	561098	4.1	2.6	6.2
	"Delaware County, PA"	"42045"	"2013"	"2013"	20	561973	3.6	2.2	5.5
	"Delaware County, PA"	"42045"	"2014"	"2014"	43	562960	7.6	5.5	10.3
	"Delaware County, PA"	"42045"	"2015"	"2015"	43	563894	7.6	5.5	10.3
	"Delaware County, PA"	"42045"	"2016"	"2016"	102	563402	18.1	14.6	21.6
	"Delaware County, PA"	"42045"	"2017"	"2017"	172	564696	30.5	25.9	35.0
	"Delaware County, PA"	"42045"	"2018"	"2018"	154	564751	27.3	23.0	31.6
	"Elk County, PA"	"42047"	"1999"	"1999"	Suppressed	35264	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2000"	"2000"	Suppressed	35112	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2001"	"2001"	Suppressed	34778	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2002"	"2002"	Suppressed	34413	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2003"	"2003"	Suppressed	34144	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2004"	"2004"	Suppressed	33835	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2005"	"2005"	Suppressed	33385	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2006"	"2006"	Suppressed	33006	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2007"	"2007"	Suppressed	32833	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2008"	"2008"	Suppressed	32504	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2009"	"2009"	Suppressed	32208	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2010"	"2010"	Suppressed	31946	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2011"	"2011"	Suppressed	31751	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2012"	"2012"	Suppressed	31550	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2013"	"2013"	Suppressed	31479	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2014"	"2014"	Suppressed	31194	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2015"	"2015"	Suppressed	30872	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2016"	"2016"	Suppressed	30480	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2017"	"2017"	Suppressed	30197	Suppressed	Suppressed	Suppressed
	"Elk County, PA"	"42047"	"2018"	"2018"	Suppressed	30169	Suppressed	Suppressed	Suppressed
	"Erie County, PA"	"42049"	"1999"	"1999"	Suppressed	281294	Suppressed	Suppressed	Suppressed
	"Erie County, PA"	"42049"	"2000"	"2000"	Suppressed	280843	Suppressed	Suppressed	Suppressed
	"Erie County, PA"	"42049"	"2001"	"2001"	Suppressed	280647	Suppressed	Suppressed	Suppressed
	"Erie County, PA"	"42049"	"2002"	"2002"	Suppressed	280379	Suppressed	Suppressed	Suppressed
	"Erie County, PA"	"42049"	"2003"	"2003"	Suppressed	280153	Suppressed	Suppressed	Suppressed
	"Erie County, PA"	"42049"	"2004"	"2004"	11	277864	Unreliable	2.0	7.1
	"Erie County, PA"	"42049"	"2005"	"2005"	16	277211	Unreliable	3.3	9.4
	"Erie County, PA"	"42049"	"2006"	"2006"	Suppressed	278389	Suppressed	Suppressed	Suppressed
	"Erie County, PA"	"42049"	"2007"	"2007"	14	278573	Unreliable	2.7	8.4
	"Erie County, PA"	"42049"	"2008"	"2008"	Suppressed	278686	Suppressed	Suppressed	Suppressed
	"Erie County, PA"	"42049"	"2009"	"2009"	Suppressed	279838	Suppressed	Suppressed	Suppressed
	"Erie County, PA"	"42049"	"2010"	"2010"	Suppressed	280566	Suppressed	Suppressed	Suppressed
	"Erie County, PA"	"42049"	"2011"	"2011"	Suppressed	280985	Suppressed	Suppressed	Suppressed
	"Erie County, PA"	"42049"	"2012"	"2012"	21	280646	7.5	4.6	11.4
	"Erie County, PA"	"42049"	"2013"	"2013"	24	280294	8.6	5.5	12.7
	"Erie County, PA"	"42049"	"2014"	"2014"	26	278443	9.3	6.1	13.7
	"Erie County, PA"	"42049"	"2015"	"2015"	36	278045	12.9	9.1	17.9
	"Erie County, PA"	"42049"	"2016"	"2016"	65	276207	23.5	18.2	30.0
	"Erie County, PA"	"42049"	"2017"	"2017"	96	274541	35.0	28.3	42.7
	"Erie County, PA"	"42049"	"2018"	"2018"	56	272061	20.6	15.5	26.7
	"Fayette County, PA"	"42051"	"1999"	"1999"	Suppressed	148857	Suppressed	Suppressed	Suppressed
	"Fayette County, PA"	"42051"	"2000"	"2000"	Suppressed	148644	Suppressed	Suppressed	Suppressed
	"Fayette County, PA"	"42051"	"2001"	"2001"	Suppressed	146219	Suppressed	Suppressed	Suppressed
	"Fayette County, PA"	"42051"	"2002"	"2002"	Suppressed	144817	Suppressed	Suppressed	Suppressed
	"Fayette County, PA"	"42051"	"2003"	"2003"	18	143596	Unreliable	7.4	19.8
	"Fayette County, PA"	"42051"	"2004"	"2004"	17	143494	Unreliable	6.9	19.0
	"Fayette County, PA"	"42051"	"2005"	"2005"	15	142447	Unreliable	5.9	17.4
	"Fayette County, PA"	"42051"	"2006"	"2006"	13	141165	Unreliable	4.9	15.7
	"Fayette County, PA"	"42051"	"2007"	"2007"	15	140159	Unreliable	6.0	17.7
	"Fayette County, PA"	"42051"	"2008"	"2008"	18	138813	Unreliable	7.7	20.5
	"Fayette County, PA"	"42051"	"2009"	"2009"	20	137450	14.6	8.9	22.5
	"Fayette County, PA"	"42051"	"2010"	"2010"	18	136606	Unreliable	7.8	20.8
	"Fayette County, PA"	"42051"	"2011"	"2011"	33	136097	24.2	16.7	34.1
	"Fayette County, PA"	"42051"	"2012"	"2012"	10	135660	Unreliable	3.5	13.6
	"Fayette County, PA"	"42051"	"2013"	"2013"	31	134999	23.0	15.6	32.6
	"Fayette County, PA"	"42051"	"2014"	"2014"	33	134086	24.6	16.9	34.6
	"Fayette County, PA"	"42051"	"2015"	"2015"	41	133628	30.7	22.0	41.6
	"Fayette County, PA"	"42051"	"2016"	"2016"	68	132733	51.2	39.8	64.9
	"Fayette County, PA"	"42051"	"2017"	"2017"	38	131504	28.9	20.4	39.7
	"Fayette County, PA"	"42051"	"2018"	"2018"	Suppressed	130441	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"1999"	"1999"	Suppressed	4942	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2000"	"2000"	Suppressed	4946	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2001"	"2001"	Suppressed	5355	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2002"	"2002"	Suppressed	5627	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2003"	"2003"	Suppressed	5909	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2004"	"2004"	Suppressed	6118	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2005"	"2005"	Suppressed	6964	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2006"	"2006"	Suppressed	7519	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2007"	"2007"	Suppressed	7512	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2008"	"2008"	Suppressed	7470	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2009"	"2009"	Suppressed	7737	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2010"	"2010"	Suppressed	7716	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2011"	"2011"	Suppressed	7589	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2012"	"2012"	Suppressed	7667	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2013"	"2013"	Suppressed	7631	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2014"	"2014"	Suppressed	7518	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2015"	"2015"	Suppressed	7410	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2016"	"2016"	Suppressed	7321	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2017"	"2017"	Suppressed	7297	Suppressed	Suppressed	Suppressed
	"Forest County, PA"	"42053"	"2018"	"2018"	Suppressed	7279	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"1999"	"1999"	Suppressed	128875	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2000"	"2000"	Suppressed	129313	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2001"	"2001"	Suppressed	130604	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2002"	"2002"	Suppressed	131998	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2003"	"2003"	Suppressed	133583	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2004"	"2004"	Suppressed	135742	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2005"	"2005"	Suppressed	138927	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2006"	"2006"	Suppressed	142421	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2007"	"2007"	Suppressed	144840	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2008"	"2008"	Suppressed	147032	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2009"	"2009"	Suppressed	148662	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2010"	"2010"	Suppressed	149618	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2011"	"2011"	11	150811	Unreliable	3.6	13.1
	"Franklin County, PA"	"42055"	"2012"	"2012"	Suppressed	151275	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2013"	"2013"	Suppressed	152085	Suppressed	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	"2014"	"2014"	18	152892	Unreliable	7.0	18.6
	"Franklin County, PA"	"42055"	"2015"	"2015"	18	153638	Unreliable	6.9	18.5
	"Franklin County, PA"	"42055"	"2016"	"2016"	27	153851	17.5	11.6	25.5
	"Franklin County, PA"	"42055"	"2017"	"2017"	22	154234	14.3	8.9	21.6
	"Franklin County, PA"	"42055"	"2018"	"2018"	19	154835	Unreliable	7.4	19.2
	"Fulton County, PA"	"42057"	"1999"	"1999"	Suppressed	14317	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2000"	"2000"	Suppressed	14261	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2001"	"2001"	Suppressed	14201	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2002"	"2002"	Suppressed	14251	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2003"	"2003"	Suppressed	14416	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2004"	"2004"	Suppressed	14471	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2005"	"2005"	Suppressed	14540	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2006"	"2006"	Suppressed	14714	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2007"	"2007"	Suppressed	14900	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2008"	"2008"	Suppressed	14900	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2009"	"2009"	Suppressed	14828	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2010"	"2010"	Suppressed	14845	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2011"	"2011"	Suppressed	14801	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2012"	"2012"	Suppressed	14772	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2013"	"2013"	Suppressed	14670	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2014"	"2014"	Suppressed	14632	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2015"	"2015"	Suppressed	14629	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2016"	"2016"	Suppressed	14640	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2017"	"2017"	Suppressed	14590	Suppressed	Suppressed	Suppressed
	"Fulton County, PA"	"42057"	"2018"	"2018"	Suppressed	14523	Suppressed	Suppressed	Suppressed
	"Greene County, PA"	"42059"	"1999"	"1999"	Suppressed	40796	Suppressed	Suppressed	Suppressed
	"Greene County, PA"	"42059"	"2000"	"2000"	Suppressed	40672	Suppressed	Suppressed	Suppressed
	"Greene County, PA"	"42059"	"2001"	"2001"	Suppressed	40251	Suppressed	Suppressed	Suppressed
	"Greene County, PA"	"42059"	"2002"	"2002"	Suppressed	40096	Suppressed	Suppressed	Suppressed
	"Greene County, PA"	"42059"	"2003"	"2003"	Suppressed	39798	Suppressed	Suppressed	Suppressed
	"Greene County, PA"	"42059"	"2004"	"2004"	Suppressed	39464	Suppressed	Suppressed	Suppressed
